	1		AD	Alzheimer's disease	阿尔茨海默病			
	2		AED	Automated External Defibrillator	自动体外除颤器			
	3		AMI	acute myocardial infarction	急性心肌梗死	急性心梗		
	4		COPD	chronic obstructive pulmonary disease	慢性阻塞性肺（疾）病	慢阻肺		
	5		CPR	cardiopulmonary resuscitation	心肺复苏			
	6		CT	Computed Tomography	计算机断层扫描			
	7		DNA	deoxyribonucleic acid	脱氧核糖核酸			
	8		ECMO	extracorporeal membrane oxygenerator	体外膜肺氧合机	体外膜肺		
	9		EHR	electronic health record	电子健康档案			
	10		EMR	electronic medical record	电子病历			
	11		GI	Glycemic Index	血糖生成指数	升糖指数		
	12		HPV	human papillomavirus	人乳头（状）瘤病毒			
	13		ICTV	International Committee on Taxonomy of Viruses	国际病毒分类委员会			
	14		MRI	Magnetic Resonance Imaging	磁共振成像	磁共振		
	15		PET	Positron-Emission Tomography	正电子发射断层成像			
	16		RNA	Ribonucleic Acid	核糖核酸			
第11批（2021）	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2		备注
	1		BCI	Brain Computer Interface	脑机接口			
	2		CTO	chief technology officer	首席技术官			
	3		MCN	Multi-Channel Network	多频道网络			
	4		GMV	Gross Merchandise Volume	商品交易总额			多用于电商
	5		REIT	Real Estate Investment Trust	不动产投资信托基金	房地产投资信托基金		
	6		mRNA	messenger RNA	信使核糖核酸			
	7		PCT	Patent Cooperation Treaty	《专利合作条约》			
第12批（2022）	序号	领域	缩略语	外语词全称	中文译名1	中文译名2		
	1		ABU	Asia-Pacific Broadcasting Union	亚洲—太平洋广播联盟	亚太广播联盟		
	2		ACM	Auto Colo(u)r Management	自动色彩管理			
	3		AMOLED	Active-matrix Organic Light-emitting Diode	有源矩阵有机发光二极管			
	4		CDN	Content Delivery Network	内容分发网络			
	5		COO	Chief Operating Officer	首席运营官			
	6		DOF	Degree of Freedom	自由度			
	7		DRM	Digital Rights Management	数字版权管理			
	8		ENG	Electronic News Gathering	电子新闻采集			
	9		EPG	Electronic Program Guide	电子节目指南			
	10		GDPR	General Data Protection Regulation	《通用数据保护条例》			
	11		GPON	Gigabit-capable Passive Optical Networks	千兆无源光网络			
	12		HDR	High Dynamic Range	高动态范围			
	13		HDR	High Data Rate	高数据速率			
	14		HFR	High Frame Rate	高帧率			
	15		LCD	Liquid Crystal Display	液晶显示屏	液晶屏		
	16		ODV	Original Digital Video	原创数字视频			
	17		QLED	Quantum-dot Light-emitting Diode	量子点发光二极管			
	18		QOS	Quality of Service	服务质量			
	19		SDR	Standard Dynamic Range	标准动态范围			
	20		SR	Super-resolution	超分辨率			
	21		VOD	Video on Demand	视频点播			
第13批（2022）	序号	领域	缩略语	外语词全称	中文译名1	中文译名2		
	1		APK	Android Application Package	安卓应用程序包	安卓应用包		
	2		EMBB	Enhanced Mobile Broadband	增强移动宽带			
	3		MMTC	Massive Machine Type Communication	大规模机器通信			
	4		MGC	Machine Generated Content	机器生成内容			
	5		OGC	Occupationally Generated Content	职业生成内容			
	6		PGC	Professionally Generated Content	专业生成内容			
	7		PUGC	Professional User Generated Content	专业用户生成内容			
	8		UGC	User Generated Content	用户生成内容			
	9		OLED	Organic Light-Emitting Diode	有机发光二极管			
	10		URLLC	Ultra Reliable and Low Latency Communication	超可靠低时延通信			
	11		UV	Unique Visitor	独立访客			
	12		WCG	Wide Color Gamut	广色域	宽色域		
第14批（2023）	序号	类别	外语词缩略语	外语词全称	拟推荐中文译名1	拟推荐中文译名2		
	1	通信技术	5G	5th-Generation Mobile Communication Technology	第五代移动通信技术			
	2	生态学	CCS	Carbon Capture and Storage	碳捕集与封存			
	3	生态学	CCUS	Carbon Capture, Utilization and Storage	碳捕集、利用与封存			
	4	化工	CDM	Clean Development Mechanism	清洁发展机制			
	5	生态学	CDR	Carbon Dioxide Removal	二氧化碳脱除			
	6	生态学	CO2e	Carbon Dioxide Equivalence	二氧化碳当量			
	7	组织机构	DESA	United Nations Department of Economic and Social Affairs	联合国经济和社会事务部	联合国经社部		
	8	组织机构	EP	United Nations Environment Programme	联合国环境规划署	联合国环境署		
	9	组织机构	GIH	Global Infrastructure Hub	全球基础设施中心			
	10	计算机科学技术	ITS	Intelligent Transportation System	智能交通系统			
	11	经济学	SDGs	United Nations Sustainable Development Goals	（联合国）可持续发展目标			
	12	资源科学技术	UNFCCC	United Nations Framework Convention on Climate Change	《联合国气候变化框架公约》			
	13	生态学	VOCs	Volatile Organic Compounds	挥发性有机化合物			
第15批（2023）	序号	领域	缩略语	外语词全称	中文译名1	中文译名2		
	1		CAGR	Compound Annual Growth Rate	年复合增长率			
	2		CDO	Chief Data Officer	首席数据官			
	3		CIO	Chief Information Officer	首席信息官			
	4		DDPS	Data-Driven Public Sector	数据驱动型公共部门			
	5		DESI	Digital Economy and Society Index	数字经济与社会指数			
	6		DGI	Digital Government Index	数字政府指数			
	7		DGPF	Digital Government Policy Framework	数字政府政策框架			
	8		EGDI	Electronic Government Development Index	电子政务发展指数			
	9		EPI	Electronic Participation Index	电子参与指数			
	10		GII	Global Innovation Index	全球创新指数			
	11		HCI	Human Capital Index	人力资本指数			
	12		LOSI	Local Online Services Index	地方在线服务指数	本地在线服务指数		
	13		OSI	Online Services Index	在线服务指数			
	14		OGDI	Open Government Data Index	政府数据开放指数			
	15		TII	Telecommunications Infrastructure Index	电信基础设施指数			
	16		SMS	Short Message Service	短信息服务	短信服务		
	17		AIoT	Artificial Intelligence of Things	人工智能物联网			
	18		IP地址	IP address / Internet Protocol Address	互联网协议地址			
	19		LED	Light Emitting Diode	发光二极管			
第16批（2024）	序号	领域	外语词缩略形式	外语词全称	中文译名1	中文译名2	中文译名3	
	1	人工智能	AES	Advanced Encryption Standard	高级加密标准			
	2	人工智能	AGI	Artificial General Intelligence	通用人工智能			
	3	人工智能	AIGC	Artificial Intelligence Generated Content	人工智能生成内容			
	4	人工智能	GAI	Generative Artificial Intelligence	生成式人工智能			
	5	人工智能	GAN	Generative Adversarial Networks	生成式对抗网络			
	6	人工智能	LLM	Large Language Model	大语言模型 			
	7	人工智能	/	Symmetric Key Encryption	对称加密			
	8	人工智能	/	Asymmetric Key Encryption	非对称加密			
	9	人工智能	MFA	Multi-factor Authentication	多因素身份验证	多因素验证		
	10	信息技术	DA	Data Augmentation	数据增扩			
	11	信息技术	DMA	Direct Memory Access	直接内存访问	直接存储器访问	直接内存存取	
	12	信息技术	QC	Quantum Computing	量子计算			
	13	信息技术	RDMA	Remote Direct Memory Access	远程直接内存访问	远程直接存储器访问	远程直接内存存取	
	14	信息技术	SA	Sentiment Analysis	情感分析			
	15	信息技术	XR	Extended Reality	扩展现实			
	16	工程技术	EGS	Enhanced Geothermal System	增强型地热系统			
	17	生物技术	GE	Gene Editing	基因编辑			
	18	工商管理	PCE	Personalized Customer Experience	个性化客户体验			
